273;"Букет из кустовых роз ""Палермо""";"<p>роза кустовая-15шт.</p>
<p>статица-3шт.</p>
<p>эвкалипт4шт.</p>
<p>упаковка натуральная</p>";2500
548;"Букет из кустовых роз ""Прованс""";"<p>роза кустовая-7шт.</p>
<p>хризантема кустовая-8шт.</p>";2300
277;"Букет из кустовых роз ""Просто прелесть""";"<p>роза кустовая-15шт.</p>
<p>лента.</p>";2000
397;"Букет из кустовых роз ""Реприза 60/70""";"<p>кустовая роза 21шт</p>";3200
278;"Букет из кустовых роз ""Рио Рито""";"<p>роза кустовая-10шт.</p>
<p>роза одноголовая-21шт.</p>
<p>гапсофила-2шт.</p>
<p>монстера-3шт.</p>
<p>упаковка натуральная</p>";3800
410;"Букет из кустовых роз ""Солнечный зайчик/40""";"<p>роза кустовая-11шт.</p>
<p>оформление сизаль.</p>";1200
409;"Букет из кустовых роз ""Солнечный зайчик/70""";"<p>кустовая роза длинная - 11 шт</p>";1700
274;"Букет из кустовых роз ""Таити""";"<p>роза кустовая-5шт.</p>
<p>орхидея-3шт.</p>
<p>статица-2шт.</p>
<p>гиперикум-3шт.</p>
<p>гвоздика зеленая-3шт.</p>
<p>гипсофила-1шт.</p>
<p>эвкалипт-4шт.</p>
<p>упаковка натуральная</p>
<p>&nbsp;</p>";1800
86;"Букет из кустовых роз ""Теплое лето""";"<p>роза кустовая-25шт.</p>
<p>лента</p>";3300
406;"Букет из кустовых роз ""Только тебе""";"<p>кустовая роза - 25 шт</p>";3600
356;"Букет из кустовых роз ""Файервокс/40""";"<p>рорза кустовая-15шт.</p>
<p>лента</p>";1500
355;"Букет из кустовых роз ""Файервокс/60-70""";"<p>роза кустовая-15шт.</p>
<p>лента</p>";2000
293;"Букет из кустовых роз ""Экспромт Фантазия""";"<p>амарилис-1шт.</p>
<p>роза кустовая-4шт.</p>
<p>роза одноголовая-5шт.</p>
<p>хризантема кустовая-4шт.</p>
<p>бруния-3шт.</p>
<p>гербера-1шт.</p>
<p>брасика-1шт.</p>
<p>рускус-7шт.</p>
<p>монстера-1шт.</p>
<p>упаковка натуральная</p>";3800
312;"Букет из кустовых роз ""Ясный день""";"<p>рроза кустовая-15шт.</p>
<p>лента</p>";2000
568;"Букет из лилий  ""Амадина""";"<p>лилия- 1шт.</p>
<p>роза одноголовая -10шт.</p>
<p>гербера -3шт.</p>
<p>хризантема кустовая -3шт.</p>
<p>солидаго-2шт.</p>
<p>рускус-5шт.</p>
<p>декоративная зелень</p>
<p>оформление натуральная сетка</p>";2700
304;"Букет из лилий ""Алла""";"<p>лилия-3шт.</p>
<p>гербера-5шт.</p>
<p>гиперикум-4шт.</p>
<p>рускус-5шт.</p>
<p>лимониум-3шт.</p>
<p>оформление сизаль</p>";2000
314;"Букет из лилий ""Аэлита""";"<p>лилия -1шт.</p>
<p>тюльпан -9шт.</p>
<p>роза Мери клер- 5шт.</p>
<p>роза Кул Ватер -10шт.</p>
<p>фрезия- 3шт.</p>
<p>статица- 3шт.</p>
<p>фатсия- 3шт.</p>
<p>оформление сизаль</p>";2300
477;"Букет из лилий ""Классика жанра""";"<p>лилия- 2шт.</p>
<p>роза одноголовая -9шт.</p>
<p>рускус итало-1шт.</p>
<p>рускус-9шт.</p>
<p>аспидистра-4шт.</p>
<p>натуральный декор</p>
<p>оформление сизаль</p>";2000
